word	first_letter
babserts	b
badfle	b
badret	b
baltore	b
banction	b
bavil	b
bebime	b
beceld	b
becert	b
bedil	b
beheck	b
behere	b
bejint	b
bejips	b
bejird	b
bejire	b
bejite	b
belil	b
bemil	b
bengel	b
bertle	b
besame	b
besil	b
besime	b
betil	b
bewil	b
biek	b
bimybra	b
bimycra	b
biwilo	b
biwito	b
bizilu	b
bizitu	b
blick	b
boak	b
bobis	b
bocel	b
bogos	b
bood	b
booh	b
bovis	b
buma	b
bumpet	b
buncet	b
buntet	b
burtet	b
busset	b
buvil	b
cablarently	c
cabro	c
cagla	c
cairbort	c
canwraction	c
caricotate	c
casca	c
cass	c
cath	c
cawn	c
cedcus	c
cefscel	c
cemicic	c
cemplel	c
censtel	c
cesivic	c
cetigic	c
cetter	c
cewcus	c
ciapture	c
cibgre	c
cibsle	c
ciffre	c
circombany	c
cirticity	c
citequate	c
citerate	c
civigence	c
cobdience	c
cocoloy	c
coltansion	c
colternal	c
corolot	c
corolum	c
cosquation	c
cossical	c
cottusion	c
covigent	c
cufficiel	c
cumaiing	c
cunfective	c
cungrom	c
cusalyst	c
cusonion	c
custer	c
cutended	c
cutgument	c
cuvement	c
dablish	d
dade	d
dagid	d
dait	d
dake	d
dalder	d
dalt	d
danstant	d
dara	d
dartle	d
darto	d
dasel	d
dass	d
dasser	d
deast	d
defrore	d
dempa	d
derhin	d
derwin	d
desa	d
destread	d
dethere	d
diaptain	d
dichre	d
dinking	d
dirgle	d
dirlo	d
dirpa	d
distave	d
distre	d
ditfle	d
ditste	d
dockus	d
dorjin	d
dostade	d
dotter	d
dozzle	d
droca	d
drola	d
duch	d
duddle	d
dume	d
dund	d
dunsion	d
dunty	d
durway	d
dush	d
duss	d
facket	f
fagle	f
fany	f
fartory	f
fasy	f
fawerty	f
fawick	f
faxel	f
feams	f
feant	f
feckne	f
feckte	f
fehal	f
fengy	f
fessy	f
fethy	f
fewon	f
fexon	f
fexple	f
figgle	f
firceet	f
firplash	f
fiscocy	f
fiscofy	f
fiscomy	f
fissocy	f
fissofy	f
fixerry	f
foast	f
fobinat	f
fobitot	f
fokerty	f
fottle	f
fowitat	f
fuggard	f
fuggle	f
furare	f
furdwise	f
furgoil	f
furmoth	f
furoid	f
furpoin	f
fushle	f
fustays	f
fustle	f
fustoft	f
futgack	f
futote	f
gallow	g
ganter	g
garbant	g
garmack	g
garrard	g
garrete	g
gartiere	g
gedlet	g
gellow	g
gemen	g
gemlet	g
geslet	g
gester	g
gestops	g
getty	g
gibble	g
giceons	g
giddle	g
gidlet	g
gifrag	g
gigflet	g
gillel	g
gimen	g
gipple	g
girkard	g
girten	g
gizzick	g
gollow	g
